                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                 1.4492,                0.91878,                 1.3227,                0.37545,                0.83333,                0.41806,                0.23493,                 1.4848,                 3.1043,                 1.5794,              0.0008516,              0.0008516,              0.0008516
                     60,                  1.397,                0.89597,                 1.3088,                0.40763,                0.81812,                0.42141,                0.23993,                 1.4567,                 2.9618,                 1.5521,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.4212,                0.84758,                 1.3436,                0.39372,                0.86667,                0.45091,                0.25701,                 1.4283,                 3.0916,                 1.5364,               0.000812,               0.000812,               0.000812
                     62,                 1.4011,                0.83344,                 1.2774,                0.40191,                    0.8,                0.43391,                0.23251,                 1.4958,                 3.1373,                 1.5864,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.3644,                0.85808,                 1.2483,                0.39828,                0.83333,                0.45649,                0.26379,                 1.4261,                 3.2502,                 1.5309,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.3831,                0.84411,                 1.2656,                0.38055,                0.88889,                0.45308,                0.25859,                 1.4678,                 2.8854,                 1.6083,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.3912,                0.87283,                  1.318,                0.40696,                0.81111,                0.42086,                0.24225,                 1.3937,                 3.3296,                 1.5368,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.3229,                0.83837,                 1.3057,                0.38177,                0.87778,                0.42634,                0.25985,                 1.3777,                 3.3059,                 1.5271,               0.000713,               0.000713,               0.000713
                     67,                   1.31,                0.85661,                 1.2737,                 0.3926,                0.84444,                  0.414,                0.25468,                 1.3731,                 3.5507,                 1.5595,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.3179,                0.90665,                 1.2523,                0.38102,                0.82222,                0.40256,                 0.2433,                 1.3905,                 3.0223,                 1.5747,              0.0006734,              0.0006734,              0.0006734
